,Unnamed: 0,Unnamed: 0_x,Unnamed: 0.1,H_1_1,H_1_2,H_1_3,H_2_1,H_2_2,H_2_3,H_3_1,H_3_2,H_3_3,H_forward_1_1,H_forward_1_2,H_forward_1_3,H_forward_2_1,H_forward_2_2,H_forward_2_3,H_forward_3_1,H_forward_3_2,H_forward_3_3,frame_id,head_3d_1,head_3d_2,head_3d_3,height,l_ear_3d_1,l_ear_3d_2,l_ear_3d_3,l_elbow_3d_1,l_elbow_3d_2,l_elbow_3d_3,l_eye_3d_1,l_eye_3d_2,l_eye_3d_3,l_foot_3d_1,l_foot_3d_2,l_foot_3d_3,l_hand_3d_1,l_hand_3d_2,l_hand_3d_3,l_hip_3d_1,l_hip_3d_2,l_hip_3d_3,l_knee_3d_1,l_knee_3d_2,l_knee_3d_3,l_shoulder_3d_1,l_shoulder_3d_2,l_shoulder_3d_3,neck_3d_1,neck_3d_2,neck_3d_3,person_id,pose_bb_1,pose_bb_2,pose_bb_3,pose_bb_4,r_ear_3d_1,r_ear_3d_2,r_ear_3d_3,r_elbow_3d_1,r_elbow_3d_2,r_elbow_3d_3,r_eye_3d_1,r_eye_3d_2,r_eye_3d_3,r_foot_3d_1,r_foot_3d_2,r_foot_3d_3,r_hand_3d_1,r_hand_3d_2,r_hand_3d_3,r_hip_3d_1,r_hip_3d_2,r_hip_3d_3,r_knee_3d_1,r_knee_3d_2,r_knee_3d_3,r_shoulder_3d_1,r_shoulder_3d_2,r_shoulder_3d_3,threshold,upper_bb_1,upper_bb_2,upper_bb_3,upper_bb_4,width,R_1,R_2,R_3,T_1,T_2,T_3,Unnamed: 0_y,position_x,position_y,next_frame_position_x,next_frame_position_y
0,0,635,2028,0.9992064044393316,-0.0001146869850296,0.4647476964760632,-0.0001242608619549,0.9995314989206192,0.1864328633152086,-5.883018917890854e-07,1.0309012250211229e-07,1.0,1.000794220891554,0.0001148798443169,-0.4651382261842194,0.0001243080274462,1.0004690087086785,-0.1865780738210964,5.887563185123079e-07,-1.0307088863760437e-07,1.0,3,0.0,0.0,0.0,960,469.15,427.679,0.380523,450.967,516.125,0.410102,0.0,0.0,0.0,471.955,701.209,0.864792,0.0,0.0,0.0,466.585,565.668,0.8674370000000001,469.376,636.039,0.996208,448.501,469.144,0.926748,471.951,466.674,0.916315,0,448.501,427.603,529.0930000000002,701.209,495.289,427.603,0.892732,510.954,521.352,0.8119770000000001,0.0,0.0,0.0,503.08,698.738,0.817431,529.0930000000002,557.846,0.582696,495.365,565.6759999999998,0.8534780000000001,500.502,636.1990000000002,0.8017569999999999,503.129,466.647,0.876705,0.8,448.501,427.603,529.0930000000002,565.6759999999998,1280,-0.00293054804206,-0.00137789966539,-0.0293129142374,0.000895208271686,-0.00106869637966,-0.0013264787849,1793,480.915,565.7275,480.9285,563.0665
1,8,636,3388,0.9936670455128396,-0.0005029219176885,3.4449708431037287,-0.0019820056073104,0.9965182305064856,1.569068466385712,-4.766022371959576e-06,-1.2990831973196894e-07,1.0,1.006374535329608,0.0005074441280989,-3.4677271460324155,0.0019940565252347,1.003511525937288,-1.5814477575917407,4.796662594483978e-06,1.3278298623321642e-07,1.0,4,0.0,0.0,0.0,960,466.769,427.68,0.456265,448.441,513.638,0.611646,0.0,0.0,0.0,471.948,701.216,0.861598,464.02,555.295,0.13889,466.503,565.731,0.8604219999999999,469.3080000000001,636.085,0.998284,448.454,469.154,0.934286,471.904,466.687,0.936413,0,448.441,427.596,526.626,701.342,495.26,427.596,0.917568,508.449,521.396,0.8400040000000001,0.0,0.0,0.0,497.955,701.342,0.777087,526.626,555.275,0.646414,495.328,565.748,0.862217,500.469,636.216,0.814117,503.081,466.649,0.881649,0.8,448.441,427.596,526.626,565.748,1280,-0.00213899603114,-0.00184095383156,-0.0312959626317,0.000572568096686,-0.000610407034401,-0.00202192459255,1749,480.9285,563.0665,480.996,559.2194999999998
2,16,637,659,1.0023591562256151,0.0017910921830578,-0.9966644540410772,0.0004730131479425,1.003217171202129,-1.4788769432416673,3.8696180078067457e-07,3.5213110621063333e-06,1.0,0.9976524154895222,-0.0017846379897553,0.991685440031544,-0.0004709560362973,0.9967943691312456,1.4736668245205289,-3.843949925506357e-07,-3.5093324519369003e-06,1.0,5,0.0,0.0,0.0,960,466.723,427.676,0.444358,448.374,516.191,0.659467,0.0,0.0,0.0,471.951,701.2510000000002,0.856447,456.193,557.894,0.164802,466.478,565.736,0.8587450000000001,469.282,636.0980000000002,0.996437,448.427,469.179,0.932089,471.848,466.727,0.952843,0,448.374,427.581,529.302,701.2510000000002,492.784,427.581,0.931683,510.888,526.556,0.779721,0.0,0.0,0.0,500.48,701.2410000000001,0.7893220000000001,529.302,550.16,0.458628,495.3130000000001,565.7280000000002,0.8562629999999999,495.334,638.7080000000002,0.8126770000000001,500.49300000000005,466.699,0.8890809999999999,0.8,448.374,427.581,529.302,565.736,1280,-0.00183136400301,-0.00170210981742,-0.0326678566635,0.000244592287345,-0.0004781736352019,-0.00223882473074,1789,480.996,559.2194999999998,481.041,555.3135
3,24,638,3471,1.0035024604488496,0.0006450870607274,-1.7278188392118452,0.0013358347018908,1.0028869401760514,-1.2556079701888618,2.407553833890318e-06,1.4979005886344847e-06,1.0,0.99651248604514,-0.0006435572637123,1.7209849912690334,-0.0013303452317715,0.9971263574107004,1.2497012060961523,-2.39716473139179e-06,-1.492046758950869e-06,1.0,6,0.0,0.0,0.0,960,466.716,427.665,0.426646,448.509,521.32,0.4350770000000001,0.0,0.0,0.0,471.959,701.225,0.864176,453.686,560.464,0.0850165,466.537,565.727,0.8614440000000001,469.351,636.082,0.992233,448.439,469.224,0.933595,471.844,466.73800000000006,0.939851,0,448.439,427.612,529.067,703.868,492.786,427.612,0.908406,510.853,523.965,0.809646,0.0,0.0,0.0,500.482,703.868,0.7682180000000001,529.067,557.8530000000002,0.603561,495.331,565.737,0.861916,495.305,638.714,0.825641,497.973,466.679,0.875742,0.8,448.439,427.612,529.067,565.737,1280,-0.00204169587232,-0.0016206766013099,-0.028660601005,4.19919924752e-05,-0.000702472112607,-0.001159090898,1797,481.041,555.3135,481.0545,555.2959999999999
4,32,639,3740,0.9969300089345106,-0.0015807542242049,1.4101358763744702,-0.0008529614934612,0.9963701367765392,2.2251401642598543,-6.882182990370021e-07,-3.5835487875554123e-06,1.0,1.003088834121045,0.0015863134641047,-1.4180213219868114,0.0008571645929507,1.0036454264978123,-2.234460467720472,6.934157823395995e-07,3.5977040812157767e-06,1.0,7,0.0,0.0,0.0,960,466.769,427.627,0.471962,448.468,516.198,0.5188020000000001,0.0,0.0,0.0,474.42800000000005,698.7819999999998,0.8535520000000001,469.201,555.293,0.115079,466.517,565.658,0.861116,469.334,636.007,0.988171,448.434,469.159,0.929693,471.841,466.669,0.948463,0,448.434,427.577,526.573,701.2360000000001,492.77,427.577,0.914596,510.877,523.974,0.819172,0.0,0.0,0.0,500.573,701.2360000000001,0.816806,526.573,557.904,0.594712,495.304,565.7180000000002,0.861777,497.872,636.145,0.819006,497.973,466.62,0.882187,0.8,448.434,427.577,526.573,565.7180000000002,1280,-0.00260670064017,-0.00190638808999,-0.0214321855456,0.000319331797073,-0.0007659115944989,-0.00173061422538,1799,481.0545,555.2959999999999,481.006,555.268
5,40,640,2143,0.999387814894796,-0.0028265328509189,0.4020741079512477,1.1406094432651097e-05,0.9952710896752136,2.8210304472178453,1.8544864432581687e-06,-5.61124545897295e-06,1.0,1.0006284421210854,0.0028394340912403,-0.4103369182807395,-6.207669295230471e-06,1.0047505969613726,-2.834429529945244,-1.8556867134082384e-06,5.632636532571132e-06,1.0,8,0.0,0.0,0.0,960,469.138,427.492,0.547786,450.98,513.578,0.261513,0.0,0.0,0.0,474.484,698.6289999999998,0.8606860000000001,0.0,0.0,0.0,466.5580000000001,563.0459999999998,0.851493,469.348,633.5319999999998,0.97615,448.4980000000001,466.662,0.90588,471.861,466.572,0.936034,0,448.4980000000001,425.023,526.502,698.665,492.761,425.023,0.944102,508.408,518.82,0.825815,0.0,0.0,0.0,503.144,698.665,0.8523280000000001,526.502,555.4019999999998,0.581817,492.797,563.073,0.858007,497.931,636.082,0.835426,497.937,466.572,0.8792030000000001,0.8,448.4980000000001,425.023,526.502,563.073,1280,-0.00273577379994,-0.00171257788315,-0.0224653948098,0.0003149731492159,-0.00123357027769,-0.0015457496046999,1798,481.006,555.268,479.662,554.0369999999999
6,48,641,246,1.0006935297918536,-0.0038345716657271,0.3098070059984492,0.0016176919411743,0.9966535430787438,1.5602698578948146,2.686220655250612e-06,-5.343617911076488e-06,1.0,0.9993090951681152,0.0038430967109776,-0.3155892268001662,-0.0016177863005079,1.0033506183614536,-1.564996525199394,-2.6930095642720787e-06,5.35119892960078e-06,1.0,9,0.0,0.0,0.0,960,469.209,427.509,0.383546,451.038,511.078,0.308635,0.0,0.0,0.0,474.463,696.1569999999998,0.8590620000000001,0.0,0.0,0.0,466.629,560.462,0.8498209999999999,469.349,633.376,0.95989,450.969,466.604,0.90659,471.9380000000001,466.511,0.908501,0,450.969,424.971,523.991,698.6110000000001,492.758,424.971,0.950308,510.898,518.8009999999998,0.840095,0.0,0.0,0.0,503.134,698.6110000000001,0.850268,523.991,557.859,0.6155189999999999,495.299,563.087,0.8489059999999999,497.908,633.559,0.837484,500.561,466.532,0.8647,0.8,450.969,424.971,523.991,563.087,1280,-0.00195363210514,-0.00180405192077,-0.0232183691114,0.000703765719663,-0.00136402901262,-0.000983698293567,1791,479.662,554.0369999999999,477.141,554.024
7,56,642,2465,0.9993290582519376,-0.0023035709411247,0.7536845048502013,0.0006530290303004,0.9971537359798722,1.4879972127460976,8.210449272830066e-07,-2.866232975402945e-06,1.0,1.0006741615821195,0.0023095258988911,-0.7576291780887251,-0.0006541057090085,1.0028522534600302,-1.491748368607254,-8.234732635827347e-07,2.8725119738005767e-06,1.0,10,0.0,0.0,0.0,960,469.184,425.015,0.472667,451.081,513.514,0.365851,0.0,0.0,0.0,474.469,696.148,0.864182,0.0,0.0,0.0,466.701,557.923,0.8550620000000001,469.351,630.881,0.951234,450.996,466.547,0.897534,471.953,464.047,0.8976129999999999,0,450.996,424.899,524.023,698.581,495.274,424.899,0.937347,510.875,518.74,0.8422370000000001,0.0,0.0,0.0,503.163,698.581,0.837174,524.023,557.847,0.644324,495.306,560.516,0.829957,503.068,633.491,0.820371,500.569,464.054,0.842829,0.8,450.996,424.899,524.023,560.516,1280,-0.00205737329088,-0.00152663164772,-0.0243953708559,0.000359147990821,-0.00267666485161,-0.00137367122807,1752,477.141,554.024,470.6035,552.6705
8,64,643,83,1.0054176984954313,-0.0011396943828722,-2.810212274956011,0.002099715838123,1.0002483864278375,0.3549051722828621,5.956041770986677e-06,-3.977630884910233e-06,1.0,0.9946105318034107,0.0011443839150351,2.794660577503948,-0.0020857760258721,0.9997659396774848,-0.36068357645449,-5.932238320423903e-06,3.96988388094247e-06,1.0,11,508.264,425.047,0.16345,960,469.333,425.05,0.330523,451.072,510.975,0.312288,0.0,0.0,0.0,477.107,696.034,0.8586090000000001,0.0,0.0,0.0,466.686,555.367,0.861649,471.836,628.298,0.938147,451.088,464.05,0.877283,477.029,463.999,0.8752040000000001,0,451.072,422.289,526.6030000000002,696.069,495.362,424.917,0.933319,510.947,516.217,0.8341,505.732,422.289,0.232031,503.082,696.069,0.7988649999999999,526.6030000000002,555.332,0.611247,495.332,557.92,0.807422,505.719,633.355,0.818893,505.676,464.062,0.8615870000000001,0.8,451.072,422.289,526.6030000000002,557.92,1280,-0.00259232404642,-0.000322400330333,-0.0243411175907,-0.00139917701017,-0.00650479877368,-0.00164334021974,1785,470.6035,552.6705,460.1735,555.264
9,73,644,697,0.9973942685174738,-0.0032767167622309,1.3521919182169042,-0.0002412652757421,0.9936238130426428,3.3495879110626734,4.969945929623036e-07,-6.371537726025683e-06,1.0,1.0026348739637516,0.0032976684267154,-1.3668006037930285,0.0002451278421875,1.0064172283269173,-3.3714144413761806,-4.967422697812278e-07,6.410786415029697e-06,1.0,12,0.0,0.0,0.0,960,469.345,424.956,0.293587,451.082,508.306,0.404192,0.0,0.0,0.0,477.067,693.492,0.855194,0.0,0.0,0.0,466.726,555.281,0.875275,471.8,628.271,0.922918,451.106,461.468,0.856916,474.475,461.444,0.861491,0,451.082,424.805,526.525,696.0010000000002,495.382,424.805,0.920109,510.887,513.586,0.847842,0.0,0.0,0.0,505.635,696.0010000000002,0.825709,526.525,555.257,0.582939,495.356,555.346,0.813526,505.643,630.866,0.805513,503.176,463.984,0.84304,0.8,451.082,424.805,526.525,555.346,1280,-0.00269090058282,-0.000529010081664,-0.0184084884822,-0.000975373142865,-0.00692309113219,-0.000240405788645,1766,460.1735,555.264,452.2435,555.3315
10,82,645,3491,0.9992626425627348,-0.0004405691345279,0.5291095440388546,-0.0001002811121913,0.9986628590387993,0.6170536173201412,-1.1022971665310433e-07,-8.761042710937051e-07,1.0,1.0007384875662937,0.0004410200594641,-0.5297724178813374,0.0001004213238476,1.0013390340777135,-0.6179330070223823,1.103990994790205e-07,8.773260180845232e-07,1.0,13,0.0,0.0,0.0,960,469.332,424.968,0.35108,451.019,508.273,0.459032,0.0,0.0,0.0,477.067,693.3939999999999,0.85034,471.853,552.633,0.155863,466.734,555.261,0.8822549999999999,471.827,625.702,0.914376,451.09,463.9380000000001,0.8669129999999999,474.452,461.441,0.863344,0,451.019,424.842,526.507,695.935,495.386,424.842,0.929786,510.9380000000001,513.548,0.851857,0.0,0.0,0.0,503.14,695.935,0.7949930000000001,526.507,555.347,0.6155520000000001,495.389,555.331,0.809887,505.647,630.839,0.807752,503.164,463.967,0.852356,0.8,451.019,424.842,526.507,555.347,1280,-0.00277465814725,-0.000400976394303,-0.0217214860022,-0.000833416241221,-0.00549268210307,-0.00112743873615,1765,452.2435,555.3315,447.0895,559.2040000000001
