,Unnamed: 0,Unnamed: 0_x,Unnamed: 0.1,H_1_1,H_1_2,H_1_3,H_2_1,H_2_2,H_2_3,H_3_1,H_3_2,H_3_3,H_forward_1_1,H_forward_1_2,H_forward_1_3,H_forward_2_1,H_forward_2_2,H_forward_2_3,H_forward_3_1,H_forward_3_2,H_forward_3_3,frame_id,head_3d_1,head_3d_2,head_3d_3,height,l_ear_3d_1,l_ear_3d_2,l_ear_3d_3,l_elbow_3d_1,l_elbow_3d_2,l_elbow_3d_3,l_eye_3d_1,l_eye_3d_2,l_eye_3d_3,l_foot_3d_1,l_foot_3d_2,l_foot_3d_3,l_hand_3d_1,l_hand_3d_2,l_hand_3d_3,l_hip_3d_1,l_hip_3d_2,l_hip_3d_3,l_knee_3d_1,l_knee_3d_2,l_knee_3d_3,l_shoulder_3d_1,l_shoulder_3d_2,l_shoulder_3d_3,neck_3d_1,neck_3d_2,neck_3d_3,person_id,pose_bb_1,pose_bb_2,pose_bb_3,pose_bb_4,r_ear_3d_1,r_ear_3d_2,r_ear_3d_3,r_elbow_3d_1,r_elbow_3d_2,r_elbow_3d_3,r_eye_3d_1,r_eye_3d_2,r_eye_3d_3,r_foot_3d_1,r_foot_3d_2,r_foot_3d_3,r_hand_3d_1,r_hand_3d_2,r_hand_3d_3,r_hip_3d_1,r_hip_3d_2,r_hip_3d_3,r_knee_3d_1,r_knee_3d_2,r_knee_3d_3,r_shoulder_3d_1,r_shoulder_3d_2,r_shoulder_3d_3,threshold,upper_bb_1,upper_bb_2,upper_bb_3,upper_bb_4,width,R_1,R_2,R_3,T_1,T_2,T_3,Unnamed: 0_y,position_x,position_y,next_frame_position_x,next_frame_position_y
0,0,3162,15261,1.0065153743664752,0.0306681883876041,-4.632641976517534,0.0013984135385661,1.0255345907915547,-7.235689379870659,-3.554893464392047e-06,4.6903088631291706e-05,1.0,0.9938968796179776,-0.0299227554550101,4.3878566409857545,-0.0013299038444647,0.97512575037267,7.049546067635336,3.5955741195216225e-06,-4.584278170418778e-05,1.0,3,662.196,380.575,0.435878,960,677.7289999999998,380.54,0.932467,654.279,445.849,0.956206,672.623,370.226,0.4739310000000001,677.7189999999998,571.012,0.916472,654.345,471.885,0.640289,672.557,471.869,1.03117,669.9689999999998,523.969,0.785542,667.327,406.7480000000001,0.909445,688.199,406.588,0.867323,0,654.279,370.226,735.127,573.557,0.0,0.0,0.0,735.127,440.592,0.883077,0.0,0.0,0.0,693.367,573.557,0.827462,732.534,466.591,0.786974,698.617,471.86,0.915332,693.4780000000002,529.095,0.932626,698.721,404.189,0.8275790000000001,0.8,654.279,370.226,735.127,471.885,1280,0.000466029945528,0.0021397517994,-0.0955157130957,-0.00506782438606,-0.0089956587180499,0.0069346535019599,7882,651.744,483.5585,642.637,492.663
1,3,3163,18069,0.9820022320585486,0.0587933237542909,5.2761280737258485,-0.009555013470366,1.0402658139774723,-11.488095475697625,-3.141261568458156e-05,8.916464162587948e-05,1.0,1.0187701080986429,-0.0570615276405583,-6.0306898455358615,0.0097014332308223,0.9609265697346636,10.98803017402191,3.11372090593586e-05,-8.747312505732496e-05,1.0,4,656.9019999999998,385.771,0.7843399999999999,960,675.054,385.749,0.990989,649.155,453.565,0.918039,659.555,383.124,0.77274,659.553,578.716,0.813236,651.678,484.853,0.576964,662.16,484.836,0.934014,654.359,529.177,0.902781,654.3580000000002,419.73,0.91302,677.7439999999998,414.484,0.8754209999999999,0,649.155,383.124,716.91,591.759,0.0,0.0,0.0,703.8539999999998,453.64,0.63092,0.0,0.0,0.0,680.436,591.759,0.938359,716.91,471.886,0.5745560000000001,693.442,487.372,0.931092,683.025,534.434,0.957787,696.015,411.953,0.853031,0.8,649.155,383.124,716.91,487.372,1280,0.00101515662391,-0.00013966471306,-0.0998868569732,-0.00470759626478,-0.00708933593705,0.00583760021254,7842,642.637,492.663,625.717,510.909
2,6,3164,12175,0.9689293574951232,0.0533205008336862,11.693423248712154,-0.0201973705672773,1.03407678705321,1.2267784737780614,-4.174683163706472e-05,7.677816131931014e-05,1.0,1.0308649618434202,-0.0522646378340548,-11.990223178467994,0.0200854123252822,0.9664945602654362,-1.4205419490016558,4.149322497495104e-05,-7.638755829852584e-05,1.0,5,638.773,385.846,0.6608689999999999,960,656.8439999999998,383.307,0.984302,636.161,451.072,0.993264,646.52,383.16,0.6900430000000001,641.363,578.739,0.863808,636.0840000000002,484.871,0.722377,651.703,484.896,1.05147,636.136,529.144,0.941889,641.288,417.092,0.937687,667.312,411.882,0.8555209999999999,0,636.0840000000002,383.16,701.268,594.298,675.186,388.532,0.082965,701.268,450.962,0.793899,0.0,0.0,0.0,675.057,594.298,0.953466,698.721,474.501,0.511065,677.737,484.927,0.94403,675.0930000000002,536.979,0.94782,680.462,411.9380000000001,0.8355809999999999,0.8,636.0840000000002,383.16,701.268,484.927,1280,0.00108503305819,0.0012086170027,-0.115699209273,0.00133103306871,-0.00813914276659,0.000569980707951,7878,625.717,510.909,593.1179999999998,495.325
3,10,3165,7290,0.9503791202319056,0.033385710734766,20.559905492551447,-0.0247372498509041,0.9989392178715728,20.48217192457903,-3.9249891891941015e-05,4.498221759955637e-05,1.0,1.0503275072518214,-0.0341622693639734,-20.894916810877923,0.0251877565423536,1.0010410985791312,-21.02135377874741,4.0092239965133086e-05,-4.636991390170477e-05,1.0,6,630.8969999999998,383.155,0.889782,960,646.535,383.136,0.989402,628.3009999999998,445.798,0.941722,633.557,375.446,0.8882030000000001,630.789,570.828,0.8385540000000001,633.4,477.032,0.716773,630.895,469.283,0.963359,630.883,521.373,0.792037,630.816,409.244,1.04287,654.288,406.72,0.969664,0,628.3009999999998,375.446,680.442,591.768,0.0,0.0,0.0,680.442,448.349,0.5767140000000001,0.0,0.0,0.0,659.6389999999999,591.768,0.93583,677.8969999999998,464.036,0.342398,669.988,477.067,0.840513,667.342,534.363,0.920486,675.14,406.7480000000001,0.94711,0.8,628.3009999999998,375.446,680.442,477.067,1280,-0.00133082189132,0.000890966854058,-0.0744413957,0.000876840029377,-0.0166775882244,-0.00196979497559,7886,593.1179999999998,495.325,563.1165,492.714
4,12,3166,7777,1.0046456473808651,0.0785166606916886,-9.57290367081914,-0.0153951256692024,1.0768546192807662,-13.002893122732049,-2.5016724355641863e-05,0.0001168177099283,1.0,0.9956673996261144,-0.0735273191985523,8.575360231655996,0.0145147334524199,0.9273729306582892,12.197479247412163,2.32127589642128e-05,-0.000110172994686,1.0,7,617.937,385.765,0.7440680000000001,960,636.099,385.712,0.974342,617.92,448.413,1.01908,628.211,383.127,0.7509899999999999,617.935,570.8290000000002,0.964055,630.7819999999998,484.824,0.847032,633.5,482.276,0.97988,625.668,526.576,0.720354,623.036,417.09,0.959211,649.073,411.943,0.881234,0,617.92,383.127,680.3910000000002,597.064,657.061,398.9330000000001,0.0887073999999999,680.3910000000002,450.954,0.594866,0.0,0.0,0.0,656.9730000000002,597.064,0.904842,675.1669999999998,477.026,0.255563,659.572,484.841,0.8600979999999999,656.924,539.628,1.00231,662.202,414.49,0.8317209999999999,0.8,617.92,383.127,680.3910000000002,484.841,1280,0.000687902560458,0.00250514736399,-0.12013694644,0.0056482204236099,-0.0123623413965,-0.00303135765716,7887,563.1165,492.714,552.6305,475.764
5,14,3167,5505,0.9370131669922032,0.0907924788638681,8.073112617629652,-0.0382317006981758,1.0536327260016225,-3.6284685095915488,-7.348218692020423e-05,0.000129887861952,1.0,1.0639574487797547,-0.0905827767387831,-8.918125057272931,0.0388581986166997,0.9463708430353996,3.120170188798716,7.313471178874509e-05,-0.0001295783059477,1.0,8,615.245,396.226,0.547808,960,633.359,396.249,0.8698,612.644,461.427,0.954072,617.922,388.49,0.5388069999999999,615.355,589.066,0.8804930000000001,617.804,490.215,0.793971,630.83,492.661,0.985254,620.466,539.599,0.720618,612.626,424.99300000000005,1.04564,636.089,424.946,0.959067,0,612.626,388.49,675.1419999999998,612.507,636.163,404.193,0.14518,675.1419999999998,464.011,0.6528010000000001,0.0,0.0,0.0,656.966,612.507,0.947332,669.92,490.135,0.399503,654.444,492.665,0.8906569999999999,654.408,550.156,1.03374,656.9580000000002,424.975,0.910606,0.8,612.626,388.49,675.1419999999998,492.665,1280,-0.00100538425613,0.00467131938785,-0.106393605471,0.0008785533136689,-0.00114084954839,-0.00355770858005,7884,552.6305,475.764,546.1825,477.047
6,17,3168,11247,1.002390595720008,0.0878449367971306,-10.893977853165868,-0.0209303023553133,1.0874644729642522,-17.099065874316768,-3.1652597770470785e-05,0.0001336422771533,1.0,0.998028074534475,-0.0817846004969914,9.474055469413608,0.0196643259494342,0.9177060353452036,15.906138683016286,2.8962195908308684e-05,-0.0001252330193842,1.0,9,612.496,406.64,0.645951,960,623.063,406.591,0.907999,602.234,469.236,0.929364,612.646,404.06,0.6709350000000001,615.168,594.497,0.862431,612.604,503.097,0.714436,612.673,497.894,0.923048,615.193,550.0509999999998,0.7748550000000001,607.401,437.981,0.989872,633.382,432.759,0.938178,0,602.234,404.06,659.541,615.306,636.252,414.475,0.15684,656.952,471.9380000000001,0.699204,0.0,0.0,0.0,654.2,615.306,0.908237,659.541,497.96,0.37212,646.54,505.651,0.8089,649.164,557.889,0.913657,654.196,432.77,0.920026,0.8,602.234,404.06,659.541,505.651,1280,0.001230232534,0.00391632318497,-0.116941213608,-0.00121712207329,0.00129589973949,-7.96768072178e-05,7871,546.1825,477.047,540.946,487.391
7,20,3169,16208,0.9957543914874092,0.060003537290702,-8.1601424888515,-0.0053751206241768,1.0293330325675172,-7.098307183839681,-1.1648961499518929e-05,7.437202112830544e-05,1.0,1.004462693241424,-0.0591156596675024,7.7769375898902995,0.0053232089895844,0.9711045538789238,6.936636574911139,1.1305049429828677e-05,-7.291164444236237e-05,1.0,10,610.0369999999998,409.372,0.7631600000000001,960,625.7080000000002,409.37,0.807902,596.957,477.069,0.926075,612.6659999999998,406.666,0.833277,612.577,612.52,0.89185,599.621,508.432,0.8476309999999999,612.688,510.879,0.955843,609.962,560.519,0.8339,607.419,445.741,0.889732,630.852,443.226,0.921334,0,596.957,406.666,664.799,628.227,0.0,0.0,0.0,656.846,484.845,0.740306,610.0419999999998,406.918,0.0645794,651.739,628.227,0.848484,664.799,511.08,0.524609,638.761,510.939,0.878237,638.716,570.799,0.996421,651.6619999999998,445.658,0.8770530000000001,0.8,596.957,406.666,664.799,511.08,1280,0.00102933717426,0.00237398478203,-0.114168070257,-0.000421848293627,-0.00829301774502,-8.31764918985e-05,7845,540.946,487.391,517.4705,487.5115
8,22,3170,10869,0.9281845448577286,0.0330450221882335,40.8858631828037,-0.0243647022595865,0.9901446396276996,10.52090926109022,-6.208633131117474e-05,5.491612619469516e-05,1.0,1.075800824371761,-0.0334837136813432,-43.63276620384551,0.0257777916655829,1.011829111207133,-11.699309529933656,6.537690994665236e-05,-5.764461609966555e-05,1.0,11,586.512,409.352,0.576581,960,597.057,411.896,0.8419139999999999,573.616,482.298,0.975459,589.205,406.675,0.663115,594.286,615.156,0.969659,573.55,513.621,0.8914690000000001,591.839,511.037,0.934225,591.7719999999998,568.285,0.923735,583.9540000000002,445.888,0.883807,609.91,445.726,0.930876,0,573.55,406.675,636.087,617.818,615.3240000000002,422.25,0.0669916999999999,636.015,482.301,0.622454,0.0,0.0,0.0,628.298,617.818,0.8511770000000001,636.087,508.436,0.40538,617.812,510.966,0.874942,615.278,568.303,0.996432,628.2869999999998,445.72,0.907064,0.8,573.55,406.675,636.087,513.621,1280,0.00170196092222,0.00237257988192,-0.14838346839,0.000511257501785,-0.00441797636449,-0.0017631832743099,7874,517.4705,487.5115,526.6619999999999,473.164
9,24,3171,1304,0.9408027298574232,-0.0032373581633934,32.00425830768244,-0.0142866152936028,0.9416906787796404,38.47107927711409,-2.356508388268396e-05,-1.6467420623617554e-05,1.0,1.0636926935747046,0.0030594129288536,-34.160394642486715,0.0151033497462395,1.0628265842185485,-41.37145728588607,2.531472076258289e-05,1.7574107734589728e-05,1.0,12,573.484,403.942,0.452796,960,589.193,401.374,0.8619479999999999,565.73,469.145,0.946084,576.17,396.21,0.460866,586.589,597.07,0.927917,557.863,508.289,0.758026,576.206,497.9,0.808179,576.2280000000002,550.119,0.967334,570.992,427.546,0.971035,594.319,427.483,0.971215,0,557.863,396.21,620.497,597.07,602.2330000000002,406.635,0.166436,620.497,466.713,0.707442,0.0,0.0,0.0,612.7,594.35,0.8992100000000001,617.837,487.579,0.401475,610.03,492.75,0.8685450000000001,609.933,549.915,0.913035,615.19,427.575,0.945013,0.8,557.863,396.21,620.497,508.289,1280,0.00316088995896,0.00232111033984,-0.135534375906,0.00258287461475,0.00780308339745,-0.000315321784001,7858,526.6619999999999,473.164,536.991,470.5415
