frame_id,height,l_ear_x,l_ear_y,l_elbow_x,l_elbow_y,l_eye_x,l_eye_y,l_foot_x,l_foot_y,l_hand_x,l_hand_y,l_hip_x,l_hip_y,l_knee_x,l_knee_y,l_shoulder_x,l_shoulder_y,neck_x,neck_y,nose_x,nose_y,person_id,r_ear_x,r_ear_y,r_elbow_x,r_elbow_y,r_eye_x,r_eye_y,r_foot_x,r_foot_y,r_hand_x,r_hand_y,r_hip_x,r_hip_y,r_knee_x,r_knee_y,r_shoulder_x,r_shoulder_y,threshold,width,R_1,R_2,R_3,T_1,T_2,T_3,position_x,position_y
3,960,868.1260000000001,424.976,842.115,492.736,0.0,0.0,883.675,625.663,842.0,526.645,860.324,529.0880000000001,875.9119999999999,583.956,857.7,448.523,881.0269999999999,448.513,0.0,0.0,0,888.95,424.99,907.301,487.36800000000005,0.0,0.0,841.92,641.264,907.349,508.435,883.846,529.146,865.582,586.514,901.903,448.508,0.8,1280,-0.000779564375989,0.00102385529317,-0.0889506042004,0.00691399537027,0.00113284704275,-0.00290271523409,898.087,529.1415
3,960,70.2564,403.949,6.46084,471.858,0.0,0.0,49.4623,740.283,0.0,0.0,46.8469,557.911,49.4257,651.687,33.8573,430.176,88.5399,445.901,132.994,422.177,1,119.963,406.82,148.628,510.941,132.963,409.29,132.885,690.819,159.083,563.066,112.124,557.928,125.176,620.471,133.015,448.516,0.8,1280,-0.000779564375989,0.00102385529317,-0.0889506042004,0.00691399537027,0.00113284704275,-0.00290271523409,88.67615,554.0155
4,960,883.6410000000001,427.505,847.24,495.288,0.0,0.0,886.4830000000001,633.594,844.685,529.302,865.586,531.851,886.252,591.798,865.414,453.572,886.3439999999999,451.11300000000006,0.0,0.0,0,904.529,427.67,922.883,490.102,0.0,0.0,844.66,651.726,922.893,513.674,891.618,534.429,881.1519999999999,591.826,907.215,456.187,0.8,1280,0.00299813481979,0.00207641930319,-0.0857198312878999,0.00558569002897,0.000561390479561,-0.00080153462477,908.54,509.6625
4,960,6.50194,388.464,6.4572400000000005,474.472,0.0,0.0,41.7377,745.586,0.0,0.0,49.4227,565.66,44.2864,654.369,39.0584,440.589,91.2791,450.964,0.0,0.0,1,127.772,417.068,143.406,511.087,0.0,0.0,135.47299999999998,675.209,156.475,568.2280000000001,112.155,568.303,122.493,620.479,135.639,453.631,0.8,1280,0.00299813481979,0.00207641930319,-0.0857198312878999,0.00558569002897,0.000561390479561,-0.00080153462477,87.355,537.0385
5,960,891.574,427.502,865.4910000000001,490.088,0.0,0.0,902.024,633.344,862.923,529.239,883.6080000000001,529.244,894.187,591.638,881.0930000000001,453.621,904.459,451.09,0.0,0.0,0,909.882,427.645,930.748,490.18,0.0,0.0,860.304,638.663,928.205,526.529,907.237,531.813,896.802,591.698,925.339,453.633,0.8,1280,0.00643438659608,0.00299340416677,-0.124163292348,0.00580057268962,0.005735472776,-0.0013630783651,946.3425,478.3975
5,960,86.05799999999999,404.055,6.45191,492.774,0.0,0.0,36.5464,737.689,23.4488,529.132,52.1797,555.225,49.4228,641.341,46.9051,440.501,93.8414,445.886,0.0,0.0,1,132.86700000000002,409.271,151.231,508.346,0.0,0.0,135.58,672.525,159.054,557.846,117.317,560.49,132.85299999999998,615.317,138.217,450.954,0.8,1280,0.00643438659608,0.00299340416677,-0.124163292348,0.00580057268962,0.005735472776,-0.0013630783651,108.1664,486.201
6,960,904.568,424.947,865.56,490.082,0.0,0.0,894.1489999999999,630.877,865.5260000000001,529.072,886.268,529.105,899.3530000000001,586.508,886.2439999999999,448.427,907.189,448.4,0.0,0.0,0,925.361,424.956,946.186,487.406,0.0,0.0,870.7869999999999,630.909,946.235,516.22,909.906,529.155,907.185,586.578,928.091,448.467,0.8,1280,0.00421995995566,0.0016640520189,-0.103946194053,0.00388256902806,0.0089390194043499,0.00119962554891,968.55,471.8635
6,960,83.3732,403.935,6.45012,495.285,0.0,0.0,34.0072,722.206,28.5893,521.331,59.9383,552.749,49.4167,636.186,44.3466,440.545,93.7356,445.765,135.59799999999998,422.225,1,132.87,406.834,153.674,505.79,135.632,409.284,133.03799999999998,675.158,161.649,552.722,119.981,555.2819999999999,132.893,615.226,138.214,448.411,0.8,1280,0.00421995995566,0.0016640520189,-0.103946194053,0.00388256902806,0.0089390194043499,0.00119962554891,105.609,474.49
7,960,907.173,424.92800000000005,875.972,487.487,0.0,0.0,889.073,620.415,875.88,526.515,886.498,529.11,904.467,578.79,886.5010000000001,448.437,909.911,448.431,925.318,427.459,0,925.534,424.921,946.335,490.057,922.861,424.841,894.174,628.309,946.387,526.645,920.271,529.173,925.377,586.559,933.323,448.524,0.8,1280,0.00693335337564,0.00235848291777,-0.1140147596599999,-0.000960474018939,0.0116523187607999,0.00397236505523,1011.524,475.7845
7,960,78.2427,404.086,6.45519,490.116,0.0,0.0,36.4665,709.065,28.6168,523.925,59.9609,552.658,52.1667,630.914,44.2701,440.586,91.3243,445.81,135.511,417.169,1,130.31,406.824,153.66899999999998,508.237,135.503,409.25,122.482,677.8480000000001,161.66299999999998,552.587,117.414,552.763,127.76,617.813,138.13,448.489,0.8,1280,0.00693335337564,0.00235848291777,-0.1140147596599999,-0.000960474018939,0.0116523187607999,0.00397236505523,118.57415,466.6555
8,960,909.828,406.67800000000005,883.808,466.6830000000001,0.0,0.0,896.768,612.5369999999999,883.846,505.705,891.64,508.403,904.433,568.297,894.158,435.36,920.247,432.826,0.0,0.0,0,930.756,406.776,948.983,471.917,0.0,0.0,904.596,615.16,948.96,508.241,925.44,510.922,928.196,570.862,943.721,437.973,0.8,1280,0.00391484797001,0.00211071805097,-0.1303718984129999,0.00564190000296,0.0060250768438,-0.002385875443,1074.08,505.7815
8,960,70.4219,385.985,6.46156,453.615,0.0,0.0,46.8691,677.842,0.0,0.0,54.745,537.0319999999999,52.2343,612.597,33.8551,424.897,86.0046,427.681,132.808,403.937,1,117.326,398.823,145.95600000000002,490.129,132.82399999999998,401.42,114.73,669.948,166.80900000000003,531.893,114.681,537.045,117.343,604.752,132.871,437.944,0.8,1280,0.00391484797001,0.00211071805097,-0.1303718984129999,0.00564190000296,0.0060250768438,-0.002385875443,135.6425,469.3065
9,960,928.109,383.318,888.952,448.378,0.0,0.0,907.161,591.811,896.7330000000001,479.64,904.668,487.42800000000005,907.187,542.215,907.27,409.244,930.723,409.304,0.0,0.0,0,948.897,385.783,964.602,450.958,0.0,0.0,922.756,591.835,967.165,487.514,930.754,487.587,943.724,547.411,954.095,411.927,0.8,1280,-0.000719620264135,0.00305942771956,-0.108167245984,0.0073930122889599,0.00414692657068,-0.00700285891071,1113.19,496.587
9,960,65.1622,362.247,6.470330000000001,417.086,0.0,0.0,70.2959,646.51,0.0,0.0,59.93899999999999,508.413,70.2551,573.656,31.263,391.05,80.7856,403.934,0.0,0.0,1,114.602,365.016,151.18,464.046,0.0,0.0,117.368,651.628,174.762,505.646,114.771,508.423,125.138,576.173,130.344,406.604,0.8,1280,-0.000719620264135,0.00305942771956,-0.108167245984,0.0073930122889599,0.00414692657068,-0.00700285891071,135.5925,461.3805
10,960,954.108,367.549,912.479,440.532,0.0,0.0,927.992,591.731,917.598,469.349,928.078,474.499,927.975,531.893,930.707,396.253,961.903,398.867,0.0,0.0,0,980.221,372.831,990.741,445.766,0.0,0.0,948.971,589.059,990.568,487.474,964.607,482.296,967.143,534.487,987.916,401.497,0.8,1280,0.00236741895787,0.00302552105859,-0.0921674594283,0.00415102392435,0.00657308660448,-0.00373067869805,1140.56,473.199
